"ngrams","Freq"
"either",5577
"actually",5573
"investigation",5557
"gas",5550
"means",5545
"media",5541
"paul",5536
"dr",5530
"works",5521
"26",5514
"growth",5510
"leaders",5484
"anyone",5478
"charged",5478
"lives",5458
"lake",5445
"contract",5436
"records",5433
"programs",5431
"mike",5410
"credit",5404
"chris",5400
"27",5394
"performance",5394
"living",5392
"questions",5392
"central",5390
"soon",5390
"moved",5367
"training",5367
"maybe",5360
"n",5359
"allowed",5356
"association",5354
"gets",5349
"arizona",5344
"press",5338
"body",5337
"avenue",5332
"valley",5296
"block",5290
"following",5288
"angeles",5279
"200",5277
"shows",5268
"takes",5257
"drug",5253
"fell",5250
"action",5241
"miles",5237
"sometimes",5231
"owner",5230
"tried",5225
"christie",5224
"involved",5217
"administration",5209
"toward",5209
"rest",5205
"included",5201
"online",5194
"served",5183
"28",5170
"rights",5166
"reason",5165
"johnson",5159
"changes",5157
"draft",5154
"create",5148
"visit",5140
"policy",5125
"square",5123
"personal",5112
"gov",5092
"calls",5086
"families",5081
"ready",5074
"potential",5063
"felt",5057
"legal",5056
"brought",5055
"rock",5053
"sign",5051
"easy",5047
"study",5047
"opportunity",5044
"bar",5039
"effort",5031
"goes",5029
"reports",5027
"practice",5022
"double",5020
"built",5006
"fund",4992
"biggest",4988
"60",4986
"republicans",4983
"29",4982
"rather",4979
"insurance",4974
"act",4968
"period",4966
"homes",4962
"opening",4955
"lower",4951
"events",4947
"guard",4943
"hold",4943
"authorities",4939
"base",4938
"comment",4935
"total",4929
"groups",4928
"movie",4916
"seems",4899
"longer",4896
"sense",4890
"main",4884
"sent",4882
"governor",4881
"happy",4862
"taxes",4847
"customers",4840
"r",4829
"cases",4824
"showed",4818
"tv",4816
"similar",4812
"opened",4810
"income",4800
"named",4786
"weekend",4777
"data",4768
"heard",4760
"style",4751
"fun",4749
"35",4747
"else",4745
"revenue",4742
"state's",4740
"bay",4734
"hotel",4733
"bowl",4729
"commission",4725
"ground",4712
"shooting",4711
"victory",4707
"francisco",4695
"downtown",4689
"happened",4674
"allow",4667
"focus",4660
"45",4655
"track",4652
"americans",4639
"democratic",4636
"democrats",4636
"businesses",4635
"yards",4633
"daughter",4627
"sold",4625
"largest",4620
"missouri",4616
"friend",4607
"nfl",4603
"risk",4601
"hot",4586
"finished",4584
"killed",4577
"benefits",4576
"tough",4565
"walk",4564
"hearing",4552
"step",4551
"themselves",4543
"difficult",4538
"ask",4535
"leading",4524
"florida",4521
"overall",4520
"plus",4520
"closed",4518
"ways",4515
"arrested",4512
"blue",4512
"beach",4508
"cuts",4502
"stadium",4501
"trial",4501
"signed",4494
"afternoon",4492
"watch",4490
"read",4489
"build",4487
